Employee_No,Hourly_Time,Late_minutes
347,8.586300211416491,19.10708245243129
348,9.35121359223301,96.27594390507012
349,8.26536231884058,46.94227053140097
351,8.306571428571429,14.105595238095239
352,10.434017857142857,39.973482142857144
354,12.027012089810018,54.39513529073115
355,14.173396524486572,52.624934175882046
356,9.137094736842105,12.294175438596492
359,9.754037037037037,4.430679012345679
360,8.155434782608696,29.32608695652174
361,11.83856610800745,55.072377405338294
363,11.4248,24.922666666666665
373,14.223740157480314,69.4490157480315
376,11.402968490878939,51.691818684356
377,10.37271375464684,52.68999380421314
380,11.709638752052545,31.02939244663383
381,10.828045454545455,52.75606060606061
383,14.14744394618834,54.80994020926756
384,10.822096474953618,25.995083487940633
385,10.00266393442623,26.509938524590165
389,12.341702586206896,46.78236350574713
392,10.841727493917274,40.79578264395782
393,11.395741811175338,14.556165703275529
394,12.091730769230768,51.47590811965812
396,10.694468503937008,42.919258530183725
399,13.34,20.508474576271187
400,13.743864661654136,55.65431077694236
401,11.432103174603174,34.57142857142857
402,0.002,537.2166666666667
404,11.37279197080292,19.56846107055961
408,10.56049504950495,47.62502750275028
410,10.8172,50.75166666666667
411,13.081723122238586,54.65363279332352
413,11.379952380952382,36.3802380952381
415,12.889662162162162,10.071171171171171
416,11.037868852459017,29.733060109289617
417,12.215714285714286,52.305119047619044
419,6.674444444444445,27.183703703703703
420,12.47789291882556,53.44064478986759
421,12.236100795755968,57.84160035366932
423,10.93391472868217,97.58359173126614
424,13.031583333333334,32.95
425,8.971626213592232,16.979045307443364
426,8.326788321167884,5.635766423357665
427,9.093161904761905,25.925809523809523
431,11.153083197389886,2.1314301250679715
433,9.570353982300885,10.168067846607668
434,9.924645669291339,4.340944881889763
435,11.615707154742097,38.439794786467
436,11.688853383458648,38.659774436090224
437,8.425354330708661,18.258530183727036
438,9.706842105263158,60.1645795523291
440,9.106674107142856,12.016183035714286
443,9.25504347826087,19.11173913043478
446,9.004117647058823,0.08594771241830064
450,11.39108108108108,0.0
453,13.306477064220182,7.7132721712538235
455,11.486972789115647,42.550113378684806
461,12.5625,0.0
463,10.105975609756099,4.367987804878048
466,12.063314606741573,7.63441011235955
468,10.758181818181818,3.8509161381254406
471,10.101043478260868,1.6052898550724637
476,9.195413533834586,33.93107769423559
481,9.356953907815631,32.6314963259853
482,9.713191489361702,30.053900709219864
486,9.953628318584071,0.33502949852507374
487,10.000821678321678,5.191841491841491
495,15.013251417769377,2.338972904851922
496,10.82495575221239,34.574837758112096
501,9.540511695906433,33.672441520467835
504,11.639375,23.157812500000002
505,12.000277777777777,56.34861111111111
510,8.59239819004525,38.51282051282052
516,8.635032397408207,27.284521238300936
517,8.68452606635071,12.063151658767772
523,9.157142857142857,0.003945578231292517
534,10.736547085201794,15.676083707025413
536,7.534000000000001,10.4
537,11.444122287968442,25.138527284681132
545,11.823933333333335,36.61222222222222
547,8.267837837837838,17.275880425880427
549,15.5,0.0
550,11.38903420523139,42.903822937625755
551,8.678160173160173,11.707070707070708
556,8.5407,32.302277777777775
557,3.265,165.82083333333335
565,7.926733333333333,16.310333333333336
569,8.78207650273224,6.514936247723133
572,4.15,24.8
573,9.308571428571428,92.32755102040817
582,10.752906137184114,32.18589049338147
583,12.487820945945947,51.923789414414415
